name,label,ccc,p_log,replicates,Method,Draw,ccc_hat,selected_lambda,time
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.3,2950,0,10.676459364096324
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.4,3233,0,10.533224240938823
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.1,2955,NA,59.49790573120117
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.2,2994,NA,1.0518151958783468
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.3,2950,NA,59.207664012908936
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.4,3233,NA,1.058926252524058
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.1,1520,50,12.589918299516041
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.2,1656,0,11.704481673240661
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.3,1493,5,8.916297463575999
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.4,1507,0,6.996680009365082
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,mle_no_pen,r1.1,1520,NA,1.0330630819002786
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,mle_no_pen,r1.2,1656,NA,1.1582391778628032
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,mle_no_pen,r1.3,1493,NA,1.0865334828694662
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,mle_no_pen,r1.4,1507,NA,1.1051750302314758
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.1,2996,0,10.545978852113087
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.2,2958,10,10.337912531693776
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.3,3258,0,10.762218189239501
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.4,2951,10,10.349289826552074
