method,ccc,alpha,delta,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time,sim_subset,draw,id,eta,alpha_delta_r
[3] GOF,1e3,0.1,1e-5,6,965,35,0.09919707938394265,4.9853778277715774e-6,10,5207.476999999999,3,3,13,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,1e-5,6,1010,10,0.09993283264101961,6.667644054309272e-6,130,5271.695,3,4,14,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[3] GOF,1e3,0.1,1e-5,6,858,142,0.1371729360630668,7.387231835198442e-6,120,5427.637000000002,3,5,15,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,0.001,10,1138,138,0.08775729442991229,0.0011961896415149898,NA,403.40599999999995,3,1,11,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,1122,122,0.08179282278450978,9.380354173227134e-4,NA,377.1170000000002,3,2,12,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,869,131,0.1303597502118911,0.001315883842175929,NA,404.36500000000024,3,3,13,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,1789,789,0.047724329452239776,8.283687031422148e-4,NA,402.4279999999999,3,4,14,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,0.001,10,931,69,0.10574104352354449,0.001149857038946612,NA,397.3689999999997,3,5,15,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[0] MLE,1e3,0.1,1e-5,10,973,27,0.1006096360034718,6.63225316465096e-6,NA,566.4940000000006,3,1,11,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,1e-5,10,866,134,0.1233684988152669,7.319729408231047e-6,NA,593.5969999999998,3,2,12,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,1e-5,10,1001,1,0.09473886135856183,6.6573887441674e-6,NA,603.8360000000002,3,3,13,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
